County,Dist,District,aid_17_18,aid_18_19,aid_change,Aid Percent Difference,aid_change_perc
Middlesex,1170,East Brunswick Twp,18198710,18761697,562987,0.03094,3.094
Warren,2970,Mansfield Twp,3621285,3734541,113256,0.03128,3.128
Monmouth,3200,Millstone Twp,4799939,4950531,150592,0.03137,3.137
Warren,3890,Oxford Twp,2636734,2720596,83862,0.03181,3.181
Union,5000,Springfield Twp,1499206,1547093,47887,0.03194,3.194
Camden,3420,Mount Ephraim Boro,4015533,4145226,129693,0.0323,3.23
Salem,4150,Pittsgrove Twp,15452370,15953901,501531,0.03246,3.246
Monmouth,1260,Eatontown Boro,3774541,3897784,123243,0.03265,3.265
Hunterdon,1376,South-Hunterdon,2290421,2367203,76782,0.03352,3.352
Sussex,4650,Sandyston-Walpack Twp,573099,592415,19316,0.0337,3.37
Ocean,770,Central Regional,4117752,4256787,139035,0.03376,3.376
Monmouth,5310,Upper Freehold Regional,5655615,5847057,191442,0.03385,3.385
Warren,1670,Frelinghuysen Twp,605993,626742,20749,0.03424,3.424
Sussex,2165,High Point Regional,6281451,6500411,218960,0.03486,3.486
Camden,340,Berlin Twp,5695151,5895815,200664,0.03523,3.523
Ocean,4210,Point Pleasant Boro,5967620,6177953,210333,0.03525,3.525
Somerset,1610,Franklin Twp,13488853,13966339,477486,0.0354,3.54
Atlantic,1410,Estell Manor City,2134584,2210278,75694,0.03546,3.546
Passaic,3980,Passaic Co Manchester Reg,7152073,7405776,253703,0.03547,3.547
Cape May,5060,Stone Harbor Boro,52892,54788,1896,0.03585,3.585
Essex,2330,Irvington Township,113477223,117691353,4214130,0.03714,3.714
Morris,3380,Morris Plains Boro,808316,838634,30318,0.03751,3.751
Cape May,3780,Ocean City,3804445,3949402,144957,0.0381,3.81
Ocean,210,Bay Head Boro,70208,72910,2702,0.03849,3.849
Hunterdon,910,Clinton Town,1251653,1300037,48384,0.03866,3.866
Passaic,420,Bloomingdale Boro,1983460,2061406,77946,0.0393,3.93
Bergen,4370,Ridgefield Boro,2632415,2736338,103923,0.03948,3.948
Morris,5770,Wharton Boro,4421522,4596901,175379,0.03966,3.966
Camden,3110,Merchantville Boro,2473482,2571762,98280,0.03973,3.973
Bergen,1700,Garfield City,56596841,58866841,2270000,0.04011,4.011
Hunterdon,1510,Flemington-Raritan Reg,6159367,6406476,247109,0.04012,4.012
Burlington,4460,Riverton,547970,570016,22046,0.04023,4.023
Atlantic,1540,Folsom Boro,5641739,5869132,227393,0.04031,4.031
Cumberland,997,Cumberland Regional,12390855,12891242,500387,0.04038,4.038
Middlesex,3220,Milltown Boro,1186590,1234838,48248,0.04066,4.066
Atlantic,570,Brigantine City,2255760,2348408,92648,0.04107,4.107
Camden,5400,Voorhees Twp,5562934,5792251,229317,0.04122,4.122
Atlantic,3720,Northfield City,3913230,4075335,162105,0.04142,4.142
Monmouth,500,Bradley Beach Boro,1050018,1093559,43541,0.04147,4.147
Monmouth,2430,Keyport Boro,5522076,5751498,229422,0.04155,4.155
Middlesex,4090,Perth Amboy City,161347542,168100857,6753315,0.04186,4.186
Camden,800,Cherry Hill Twp,14131515,14727844,596329,0.0422,4.22
Ocean,1150,Eagleswood Twp,652202,679821,27619,0.04235,4.235
Burlington,4930,Southampton Twp,2092492,2181681,89189,0.04262,4.262
Bergen,4430,River Vale Twp,527683,550193,22510,0.04266,4.266
Passaic,3970,Passaic City,230752455,240690152,9937697,0.04307,4.307
Morris,3370,Morris Hills Regional,7765255,8100974,335719,0.04323,4.323
Ocean,230,Beach Haven Boro,226743,236619,9876,0.04356,4.356
Gloucester,1715,Gateway Regional,7670486,8004738,334252,0.04358,4.358
Morris,450,Boonton Town,1322889,1380639,57750,0.04365,4.365
Sussex,1560,Frankford Twp,1933050,2017512,84462,0.04369,4.369
Warren,5460,Warren County Vocational,3166477,3307006,140529,0.04438,4.438
Union,5290,Union Twp,31286255,32684260,1398005,0.04468,4.468
Gloucester,1590,Franklin Twp,8875221,9274364,399143,0.04497,4.497
Essex,3880,City Of Orange Twp,75202477,78604954,3402477,0.04524,4.524
Camden,700,Camden County Vocational,22581598,23608172,1026574,0.04546,4.546
Hudson,5580,Weehawken Twp,2668254,2789710,121456,0.04552,4.552
Bergen,3550,New Milford Boro,1872920,1958416,85496,0.04565,4.565
Burlington,3080,Medford Twp,4769108,4986803,217695,0.04565,4.565
Union,4160,Plainfield City,126468339,132241297,5772958,0.04565,4.565
Hunterdon,2300,Hunterdon Central Reg,5719700,5982704,263004,0.04598,4.598
Union,1320,Elizabeth City,373294815,390533502,17238687,0.04618,4.618
Sussex,1630,Fredon Twp,534307,559003,24696,0.04622,4.622
Cape May,4700,Sea Isle City,250659,262339,11680,0.0466,4.66
Passaic,3640,North Haledon Boro,430615,450923,20308,0.04716,4.716
Morris,3460,Mountain Lakes Boro,799520,837405,37885,0.04738,4.738
Morris,630,Butler Boro,2014571,2110420,95849,0.04758,4.758
Cumberland,540,Bridgeton City,82864389,86812555,3948166,0.04765,4.765
Gloucester,860,Clayton Boro,10308407,10803765,495358,0.04805,4.805
Monmouth,5185,Tinton Falls,3519232,3690396,171164,0.04864,4.864
Sussex,3590,Newton Town,6165257,6466266,301009,0.04882,4.882
Monmouth,3160,Middletown Twp,17481823,18345222,863399,0.04939,4.939
Atlantic,110,Atlantic City,24337833,25544104,1206271,0.04956,4.956
Camden,2670,Lindenwold Boro,25707429,26981830,1274401,0.04957,4.957
Somerset,555,Bridgewater-Raritan Reg,9560332,10035953,475621,0.04975,4.975
Atlantic,10,Absecon City,1694796,1779536,84740,0.05,5
Atlantic,120,Atlantic Co Vocational,4940398,5187418,247020,0.05,5
Atlantic,1300,Egg Harbor City,5301220,5566281,265061,0.05,5
Atlantic,1310,Egg Harbor Twp,41838342,43930259,2091917,0.05,5
Atlantic,1940,Hamilton Twp,23178276,24337190,1158914,0.05,5
Bergen,440,Bogota Boro,5809244,6099706,290462,0.05,5
Bergen,890,Cliffside Park Boro,3909862,4105355,195493,0.05,5
Bergen,1270,Edgewater Boro,1034472,1086196,51724,0.05,5
Bergen,1345,Elmwood Park,4738567,4975495,236928,0.05,5
Bergen,1470,Fairview Boro,8690741,9125278,434537,0.05,5
Bergen,1860,Hackensack City,14972649,15721282,748633,0.05,5
Bergen,2710,Little Ferry Boro,2140230,2247242,107012,0.05,5
Bergen,2740,Lodi Borough,15800234,16590246,790012,0.05,5
Bergen,2860,Lyndhurst Twp,2098617,2203548,104931,0.05,5
Bergen,3060,Maywood Boro,1200808,1260849,60041,0.05,5
Bergen,3600,North Arlington Boro,2187694,2297079,109385,0.05,5
Bergen,4380,Ridgefield Park Twp,5958857,6256800,297943,0.05,5
Bergen,4410,River Edge Boro,752750,790388,37638,0.05,5
Bergen,5430,Wallington Boro,3605399,3785669,180270,0.05,5
Burlington,475,Bordentown Regional,8279997,8693997,414000,0.05,5
Burlington,620,Burlington Twp,19066813,20020154,953341,0.05,5
Burlington,830,Chesterfield Twp,821188,862248,41060,0.05,5
Burlington,1060,Delran Twp,12517676,13143560,625884,0.05,5
Burlington,1280,Edgewater Park Twp,6860711,7203747,343036,0.05,5
Burlington,3010,Maple Shade Twp,9192188,9651798,459610,0.05,5
Burlington,3070,Medford Lakes Boro,1220483,1281507,61024,0.05,5
Burlington,3920,Palmyra Boro,4807229,5047591,240362,0.05,5
Burlington,4450,Riverside Twp,11173307,11731972,558665,0.05,5
Burlington,5720,Westampton,3750314,3937830,187516,0.05,5
Camden,330,Berlin Boro,3725649,3911932,186283,0.05,5
Camden,2130,Hi Nella,926158,972466,46308,0.05,5
Camden,4060,Pennsauken Twp,49336778,51803617,2466839,0.05,5
Camden,5900,Woodlynne Boro,7106570,7461899,355329,0.05,5
Cumberland,995,Cumberland Co Vocational,4049193,4251653,202460,0.05,5
Cumberland,5300,Upper Deerfield Twp,6476862,6800705,323843,0.05,5
Essex,250,Belleville Town,26986513,28335839,1349326,0.05,5
Essex,410,Bloomfield Twp,23020310,24171326,1151016,0.05,5
Essex,1390,Essex Co Voc-Tech,21094830,22149572,1054742,0.05,5
Essex,3570,Newark City,750118011,787623912,37505901,0.05,5
Essex,3750,Nutley Town,7237573,7599452,361879,0.05,5
Gloucester,1180,East Greenwich Twp,3648914,3831360,182446,0.05,5
Gloucester,1775,Gloucester Co Vocational,7980648,8379681,399033,0.05,5
Gloucester,2440,Kingsway Regional,9599143,10079100,479957,0.05,5
Gloucester,3280,Monroe Twp,35740575,37527604,1787029,0.05,5
Gloucester,5120,Swedesboro-Woolwich,7217672,7578556,360884,0.05,5
Gloucester,5620,West Deptford Twp,12335282,12952046,616764,0.05,5
Gloucester,5740,Westville Boro,2551492,2679067,127575,0.05,5
Hudson,220,Bayonne City,56916073,59761877,2845804,0.05,5
Hudson,1200,East Newark Boro,3578845,3757787,178942,0.05,5
Hudson,1850,Guttenberg Town,5784546,6073773,289227,0.05,5
Hudson,2295,Hudson County Vocational,21293444,22358116,1064672,0.05,5
Hudson,2410,Kearny Town,33119896,34775891,1655995,0.05,5
Hudson,3610,North Bergen Twp,58323031,61239183,2916152,0.05,5
Hudson,5240,Union City,181132094,190188699,9056605,0.05,5
Hudson,5670,West New York Town,95592169,100371778,4779609,0.05,5
Mercer,1245,East Windsor Regional,20129621,21136102,1006481,0.05,5
Mercer,3105,Mercer County Vocational,2498009,2622910,124901,0.05,5
Mercer,5210,Trenton City,230692142,242226749,11534607,0.05,5
Mercer,5510,Robbinsville Twp,3122798,3278938,156140,0.05,5
Middlesex,750,Carteret Boro,27834738,29226475,1391737,0.05,5
Middlesex,1140,Dunellen Boro,5890347,6184864,294517,0.05,5
Middlesex,1290,Edison Twp,15492024,16266625,774601,0.05,5
Middlesex,2370,Jamesburg Boro,5353086,5620740,267654,0.05,5
Middlesex,3140,Middlesex Boro,9122803,9578943,456140,0.05,5
Middlesex,3150,Middlesex Co Vocational,13520974,14197023,676049,0.05,5
Middlesex,3530,New Brunswick City,126873046,133216698,6343652,0.05,5
Middlesex,3620,North Brunswick Twp,14621189,15352249,731060,0.05,5
Middlesex,4130,Piscataway Twp,16906426,17751747,845321,0.05,5
Middlesex,4660,Sayreville Boro,22330303,23446818,1116515,0.05,5
Middlesex,4860,South Brunswick Twp,23651279,24833843,1182564,0.05,5
Middlesex,4920,South River Boro,13314062,13979765,665703,0.05,5
Middlesex,4970,Spotswood,6278845,6592788,313943,0.05,5
Middlesex,5850,Woodbridge Twp,28997676,30447560,1449884,0.05,5
Monmouth,1640,Freehold Boro,10699812,11234803,534991,0.05,5
Monmouth,2770,Long Branch City,43224236,45385448,2161212,0.05,5
Monmouth,4360,Red Bank Boro,3570056,3748559,178503,0.05,5
Morris,1110,Dover Town,25905898,27201193,1295295,0.05,5
Passaic,900,Clifton City,30054160,31556868,1502708,0.05,5
Passaic,1920,Haledon Boro,7205174,7565433,360259,0.05,5
Passaic,3995,Passaic County Vocational,21841555,22933633,1092078,0.05,5
Passaic,4010,Paterson City,405727233,426013595,20286362,0.05,5
Passaic,4270,Prospect Park Boro,8225747,8637034,411287,0.05,5
Passaic,5690,Woodland Park,1061269,1114333,53064,0.05,5
Salem,4070,Penns Grv-Carney'S Pt Reg,21895154,22989912,1094758,0.05,5
Salem,4640,Salem County Vocational,4848291,5090706,242415,0.05,5
Somerset,3000,Manville Boro,6054385,6357104,302719,0.05,5
Somerset,3670,North Plainfield Boro,25804395,27094615,1290220,0.05,5
Somerset,4820,Somerville Boro,5794175,6083884,289709,0.05,5
Somerset,4850,South Bound Brook,3454933,3627680,172747,0.05,5
Union,2190,Hillside Twp,22000944,23100991,1100047,0.05,5
Union,4290,Rahway City,21397420,22467291,1069871,0.05,5
Union,4540,Roselle Boro,24336033,25552835,1216802,0.05,5
Union,4550,Roselle Park Boro,10963398,11511568,548170,0.05,5
Union,5260,Union County Vocational,6404315,6724531,320216,0.05,5
Gloucester,1100,Deptford Twp,24287367,25513472,1226105,0.05048,5.048
Camden,260,Bellmawr Boro,5533555,5813689,280134,0.05062,5.062
Camden,2540,Laurel Springs Boro,1999445,2100793,101348,0.05069,5.069
Bergen,300,Bergenfield Boro,11359313,11935421,576108,0.05072,5.072
Gloucester,4020,Paulsboro Boro,12436023,13068258,632235,0.05084,5.084
Passaic,4400,Ringwood Boro,2861274,3006813,145539,0.05087,5.087
